instance,added_at,updated_at,checked_at,uptime,up,dead,version,ipv6,https_score,https_rank,obs_score,obs_rank,users,statuses,connections,open_registrations,topic
mastodon.pirateparty.be,,2024-10-30T12:30:26.250Z,2024-10-30T12:30:26.250Z,1,true,false,,true,10,"E ",125,A+,1689,75146,25433,true,Mastodon - PiratesBE
mastodon.hk,,2024-10-30T12:30:38.504Z,2024-10-30T12:30:38.504Z,1,true,false,,true,5,"F ",125,A+,1018,56245,21139,true,Mastodon.hk
bne.social,,2024-10-30T12:10:22.624Z,2024-10-30T12:10:22.624Z,1,true,false,4.3.1,false,10,"E ",80,B+,242,129248,26823,true,bne.social
m.g3l.org,,2024-10-30T12:35:40.574Z,2024-10-30T12:35:40.574Z,1,true,false,,true,100,A+,60,C+,236,195501,21348,true,Mastodon G3L
mastodon.org.uk,,2024-10-30T12:10:22.664Z,2024-10-30T12:10:22.664Z,1,true,false,,true,5,"F ",80,B+,1928,214401,38259,true,Mastodon.org.uk
tooot.im,,2024-10-30T12:45:03.403Z,2024-10-30T12:45:03.403Z,1,true,false,4.3.1,true,0,,80,B+,3430,595572,37004,true,Toootim
social.helios42.de,2017-04-11T10:32:17.248Z,2024-10-30T12:50:03.973Z,2024-10-30T12:50:03.973Z,1,true,false,4.3.0,true,5,"F ",125,A+,7,3520,12340,true,Mastodon
mstdn.maud.io,2017-04-11T12:11:17.610Z,2024-10-30T12:30:09.722Z,2024-10-30T12:30:09.722Z,1,true,false,,true,5,F,125,A+,2171,6776379,27599,true,:don:
x0r.be,2017-04-11T17:20:05.497Z,2024-10-30T12:35:54.658Z,2024-10-30T12:35:54.658Z,1,true,false,,true,100,A+,130,A+,212,40541,34733,true,x0r.be
chitter.xyz,2017-04-12T01:29:22.974Z,2024-10-30T13:10:08.412Z,2024-10-30T13:10:08.412Z,1,true,false,,true,5,"F ",125,A+,1274,1324881,37768,true,Chitter
mstdn.jp,2017-04-12T10:20:34.792Z,2024-10-30T12:31:15.831Z,2024-10-30T12:31:15.831Z,1,true,false,,true,10,"E ",80,B+,408724,79037568,68490,true,mstdn.jp
mastodon.libre-entreprise.com,2017-04-12T11:50:16.084Z,2024-10-30T12:31:09.701Z,2024-10-30T12:31:09.701Z,1,true,false,,false,100,A+,80,B+,51,16183,25959,true,Mastodon Libre-Entreprise
mastodon.nzoss.nz,2017-04-12T12:27:02.242Z,2024-10-30T12:30:25.128Z,2024-10-30T12:30:25.128Z,1,false,false,4.3.0,false,100,A+,80,B+,390,115694,35938,true,Mastodon - NZOSS
mastodon.nu,2017-04-12T13:42:07.522Z,2024-10-30T12:31:04.851Z,2024-10-30T12:31:04.851Z,1,true,false,4.3.1,true,5,"F ",80,B+,16790,806393,34222,true,Mastodon.nu
mastodon.scot,2017-04-12T13:49:00.099Z,2024-10-30T12:20:03.980Z,2024-10-30T12:20:03.980Z,1,true,false,4.3.1,true,5,"F ",125,A+,28901,2147374,42753,true,mastodon.scot
bonn.social,2017-04-12T21:57:20.178Z,2024-10-30T12:36:44.105Z,2024-10-30T12:36:44.105Z,1,true,false,4.3.1,false,5,"F ",80,B+,1408,307741,32257,true,Bonn.social
computerfairi.es,2017-04-13T02:43:11.162Z,2024-10-30T12:36:47.070Z,2024-10-30T12:36:47.070Z,1,true,false,3.4.1+glitch,true,10,"E ",80,B+,1666,499533,35226,true,Computer Fairies
mastodon.berlin,2017-04-13T12:59:37.206Z,2024-10-30T12:30:04.300Z,2024-10-30T12:30:04.300Z,1,true,false,4.3.1,true,5,"F ",80,B+,3756,28677,25387,true,Mastodon Berlin
g0v.social,2017-04-13T18:08:40.539Z,2024-10-30T12:31:53.277Z,2024-10-30T12:31:53.277Z,1,true,false,4.3.1,false,5,"F ",80,B+,7771,1155058,35094,true,g0v.social
mstdn.poyo.me,2017-04-13T21:42:43.263Z,2024-10-30T12:30:14.837Z,2024-10-30T12:30:14.837Z,1,true,false,,false,10,"E ",125,A+,261,1366258,20720,true,Mastodon @ Poyo server
tablegame.mstdn.cloud,2017-04-14T01:28:24.098Z,2024-10-30T12:31:54.401Z,2024-10-30T12:31:54.401Z,1,true,false,,false,5,"F ",125,A+,1347,1151767,9910,true,卓ゲ箪笥
oransns.com,2017-04-14T02:57:17.271Z,2024-10-30T12:36:16.159Z,2024-10-30T12:36:16.159Z,1,false,false,4.3.0,false,5,"F ",80,B+,611,987559,19515,true,おらん
m6n.onsen.tech,2017-04-14T08:50:03.810Z,2024-10-30T12:32:05.311Z,2024-10-30T12:32:05.311Z,1,true,false,4.3.1,true,10,"E ",125,A+,322,63033,12422,true,Mastodon Onsen
pawoo.net,2017-04-14T12:39:56.134Z,2024-10-30T12:35:29.845Z,2024-10-30T12:35:29.845Z,1,true,false,,false,5,"F ",80,B+,954403,73747620,43637,true,"Pawoo - 創作活動や自由なコミュニケーションを楽しめる場 "
mstdn.cc,2017-04-14T13:48:09.633Z,2024-10-30T12:31:26.745Z,2024-10-30T12:31:26.745Z,1,true,false,4.2.1,false,5,"F ",80,B+,1,0,2911,true,dithmar.net Mastodon
